Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PX 05 CAMI,27.015000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
2,PX 09 EMERG,27.065000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
3,PX 11 RODOV,27.085000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
4,PX 19 CAMI2,27.185000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
5,PX 20 CHAMA,27.205000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
6,PX 31 USB,27.315000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,USB,5.00,,5.0W,,,,,
7,PX 40 CANAL,27.405000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
8,TWR CASCAV,125.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,5.0W,,,,,
9,APP FOZ,119.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,5.0W,,,,,
10,CHUPIM 126,126.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,5.0W,,,,,
11,UNICOM 122,122.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,5.0W,,,,,
12,EMERG AVIA,121.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,5.0W,,,,,
13,REP CASC 1,146.850000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
14,REP CASC 2,147.270000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,REP TOLEDO,147.030000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,REP FOZ 1,146.610000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
17,REP FOZ 2,146.970000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18,REP PATO B,146.910000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,REP GUARA,146.880000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
